CNF
!x77 x7 !x8
x77 !x2 !x5
x84 !x82 !x69
!x46 !x68 !x41
!x47 !x84 x6
x30 x3 x16
x76 !x6 !x65
!x79 !x42 !x3
!x37 !x55 x73
!x89 !x13 x58
x40 !x16 x29
!x36 !x74 x41
x6 x70 x33
!x33 !x77 x16
!x15 !x67 !x99
x86 !x62 x81
x10 !x72 !x27
!x5 !x32 !x28
x18 !x6 !x57
!x16 !x83 !x7
!x76 !x36 x50
x50 !x59 !x8
x85 !x70 !x5
x75 !x46 x84
!x6 !x92 !x26
!x17 !x26 x45
!x57 !x17 x51
x2 x40 !x85
x37 !x35 !x42
x18 x56 !x57
x92 x54 !x89
!x10 x85 x77
!x88 x36 !x66
x84 !x75 x93
x93 x93 x93
x101 !x7 !x22
!x34 !x56 x50
!x50 x101 !x27
x93 x73 !x81
x98 !x90 !x3
!x25 !x13 x82
x42 !x5 x32
!x95 x15 x95
!x58 !x3 !x67
!x90 !x65 x59
x91 x20 !x57
!x63 x17 !x79
!x82 !x35 !x46
x60 x98 !x91
x9 !x37 x76
x59 !x67 x26
!x59 x60 !x52
x78 x14 x19
!x89 !x81 x100
x96 x90 !x82
x41 !x57 x58
x1 !x81 x74
!x12 x14 x52
x8 x40 !x52
!x31 x86 x8
!x13 !x33 x95
!x93 !x82 x76
x28 x83 !x32
!x29 x42 !x75
x14 x47 x40
!x89 !x8 x31
!x69 x91 !x29
x97 x32 x19
x45 x3 !x68
x88 !x3 !x68
!x10 x83 !x92
x3 !x24 x47
x61 !x2 x5
x50 x14 x44
x34 x56 x3
x21 !x72 !x40
x60 x35 x98
x2 x73 x45
x12 x81 x19
!x61 !x82 x68
x62 x77 x36
x58 x60 x1
x71 x55 !x95
x17 x18 !x83
!x90 x28 x55
x33 !x94 !x15
!x6 !x85 x48
!x11 x10 x45
!x46 x71 x13
x81 x41 !x52
x83 x88 !x76
!x41 !x66 x13
!x89 !x45 x37
!x34 !x20 !x35
!x20 !x35 x19
!x78 x3 !x32
!x68 !x93 x28
!x86 !x39 x50
!x30 !x70 x93
x48 !x28 x53
x91 x17 !x1
x42 !x49 !x11
x53 !x3 x79
!x89 !x3 !x70
!x78 x68 x13
x22 x24 !x38
x96 x68 !x77
x83 !x93 !x74
!x88 !x61 !x58
!x57 !x9 !x36
!x55 x77 !x41
x81 x75 !x25
x47 !x28 !x28
x6 x4 x52
x17 x84 !x85
x57 !x90 !x61
!x5 x53 !x98
x15 !x90 x52
x64 x97 !x7
!x40 x51 !x44
x94 !x41 x20
!x37 x33 !x96
!x31 x8 x28
x73 x32 !x12
x8 x29 x91
!x64 x38 x66
!x94 x5 !x12
!x19 x89 !x32
x20 !x10 !x93
!x101 !x43 !x36
x85 !x43 !x100
!x93 !x11 !x87
!x57 !x12 !x13
!x16 x29 x15
!x22 x67 !x72
x42 x22 !x97
x10 x63 x14
!x77 !x75 x38
x35 x25 !x61
!x86 !x49 !x29
!x5 !x50 x71
x66 x58 x52
!x43 x40 x68
x93 !x83 x77
x77 !x93 x79
!x80 !x82 x71
!x58 x70 x100
!x7 !x97 !x76
x94 x33 x35
!x67 x100 x84
x98 !x55 x43
!x87 !x14 x95
!x96 x81 x28
x76 !x42 x32
!x50 x35 x77
x54 x14 !x52
!x31 x64 !x81
x9 x17 !x24
x97 x59 x27
!x30 x79 x96
!x18 x29 x20
!x76 !x60 x92
x21 !x8 !x13
!x73 !x52 x31
!x58 !x18 !x40
!x88 !x69 x63
!x59 !x86 !x101
x37 x6 x67
!x43 x46 !x8
!x51 !x26 !x8
!x74 x78 x89
