CNF
!x39 !x52 x56
!x49 !x21 x3
x67 !x49 !x58
x10 !x3 x98
x49 !x96 !x27
!x42 !x5 x83
x69 x77 !x82
!x67 x35 !x69
!x10 !x69 !x18
!x17 !x47 !x52
x6 !x9 !x32
x17 x74 x97
!x7 !x77 x53
!x85 !x87 x57
x78 !x51 !x78
x95 !x89 !x21
x68 !x35 !x53
!x97 !x73 !x79
!x39 x21 x22
x73 x67 x78
!x92 !x36 !x79
!x75 x62 !x81
x68 x11 !x66
x96 !x39 !x27
x7 !x24 x53
!x28 x9 x17
x50 x36 x82
!x75 !x46 !x66
x16 !x3 x84
!x27 x93 x76
x72 !x33 !x83
x15 x12 x28
!x41 !x53 x32
!x70 !x25 !x9
x8 !x31 !x33
x46 x33 !x26
x52 !x35 !x50
!x79 !x6 !x11
!x89 !x12 !x6
x35 x80 x22
!x28 x48 x9
x79 x39 !x48
!x17 !x43 x12
!x10 x22 x95
!x93 x92 x78
x83 !x30 x50
x57 !x33 !x44
!x52 x12 !x15
!x44 !x7 x54
!x62 !x63 x78
x23 x34 !x68
x88 !x29 !x32
x76 !x58 !x14
!x28 !x3 x59
!x76 x96 !x47
x2 x65 !x100
!x18 x67 !x55
x45 x98 x55
!x17 x28 !x29
!x18 x30 !x57
!x40 !x100 x24
x35 !x76 !x18
!x13 !x89 x69
!x94 !x29 !x2
x97 x95 !x62
x70 x44 x88
x50 x12 x30
x25 x62 x12
x35 x52 x15
!x40 !x62 x42
x51 x71 !x60
!x42 x39 x65
!x27 !x28 x38
!x85 x32 x82
!x70 x94 !x4
x6 !x54 !x25
!x78 !x16 !x35
!x57 !x59 !x75
!x55 !x55 !x67
!x83 !x51 x1
x48 !x95 x81
!x32 x45 !x40
!x94 x49 !x86
!x62 !x84 x94
!x68 !x74 x62
!x85 x29 !x63
!x11 !x45 x100
!x8 x67 !x72
!x95 !x61 x32
x22 x53 !x29
!x96 x3 !x37
!x16 x73 !x95
x18 x34 !x50
x65 !x65 x12
!x37 !x14 !x48
x87 !x71 !x38
