CNF
!x36 x10 x90
!x83 x10 !x94
!x68 !x46 x10
x97 x64 x10
x8 !x15 x10
x26 x10 !x101
!x42 x100 x10
x10 x49 !x29
!x28 x20 x10
x11 x52 x10
x47 x10 !x87
x10 x93 !x43
!x19 x10 !x1
x4 x10 !x36
x10 !x82 !x35
x35 !x39 x10
x10 x45 x21
x10 !x88 x33
x10 !x71 x28
x37 x10 x51
!x4 x58 x10
!x3 !x50 x10
x10 x30 !x81
!x2 x10 x47
x69 x10 !x94
!x41 !x53 x10
x10 !x5 x1
x10 x52 x13
x10 !x79 !x53
!x33 x11 x10
!x30 x10 !x92
x70 !x100 x10
!x79 x10 x18
x10 x69 x61
!x47 x10 x12
x11 x10 !x90
x99 !x38 x10
x14 x10 !x67
x10 x24 !x59
x10 !x17 !x63
x10 x79 !x47
x70 x10 x32
x79 x1 x10
x10 x73 x2
x10 x2 x29
!x4 x10 !x60
x10 x95 !x35
!x41 x61 x10
x25 x65 x10
!x84 !x61 x10
!x6 x10 x58
x59 x10 !x4
x10 !x86 x35
x32 x10 !x15
x10 x52 !x11
x10 !x25 x83
!x27 !x35 x10
!x87 x10 !x69
!x28 x10 !x66
!x75 x10 !x24
!x45 x10 x61
x29 x33 x10
x76 !x71 x10
x10 x2 !x50
!x29 x57 x10
x11 x70 x10
x89 !x65 x10
x9 !x87 x10
x69 x10 !x65
x8 x10 !x27
x10 x70 x3
x87 x10 x86
x10 x96 x21
!x64 x10 x93
x10 x90 !x66
x100 x10 x30
x10 !x45 !x44
!x34 x10 !x55
!x60 x53 x10
!x23 !x98 x10
x10 x75 !x52
x10 !x11 !x99
!x42 x10 !x16
x10 !x79 x64
x10 x49 !x46
x10 x47 x72
x10 !x41 !x101
x5 !x45 x10
x75 x10 !x89
!x25 x10 !x17
x10 !x70 !x16
x10 !x84 x62
x24 x10 !x7
!x67 x10 !x83
!x37 x10 x19
x95 x77 x10
x23 x10 !x39
!x21 x10 x41
!x75 x10 !x57
x10 !x97 !x21
!x31 !x85 x10
!x57 !x38 x10
x6 x10 x96
x10 x61 !x98
x67 x10 !x31
x10 !x14 x34
!x100 x78 x10
x5 !x9 x10
x10 !x64 x12
x10 x59 x61
!x36 x2 x10
x10 x31 !x5
x10 x17 x54
!x73 !x48 x10
!x87 !x32 x10
!x35 x10 !x72
!x50 x29 x10
!x3 !x93 x10
!x94 !x33 x10
x78 x97 x10
x95 x55 x10
!x54 x83 x10
x19 x85 x10
x60 x66 x10
!x75 x10 !x89
x73 x10 !x5
!x1 x69 x10
x68 x10 x49
x10 !x35 x29
x20 x10 !x32
x10 x2 x70
!x85 x10 x5
!x35 x10 x15
!x23 x10 x72
x10 x59 !x93
x17 x21 x10
!x27 x10 x31
!x75 x41 x10
x10 !x38 !x54
x4 !x92 x10
x10 !x66 x76
!x19 x10 x88
!x4 x10 !x64
x25 x10 !x37
!x78 !x42 x10
x10 !x79 !x63
!x46 !x2 x10
x10 x87 !x29
x10 x91 !x43
x47 x10 x64
x5 !x13 x10
!x39 x10 !x85
x12 x14 x10
x88 !x86 x10
x10 x67 !x59
!x58 x10 x16
x10 x96 !x51
x10 !x21 x43
x14 x21 x10
!x42 x23 x10
x49 x32 x10
!x18 x10 !x9
x10 x77 x3
x10 x90 x52
x10 !x29 !x59
!x38 x10 !x40
x1 x10 x98
x10 !x12 !x43
x55 x10 !x46
x49 !x90 x10
x10 x32 x52
x10 !x35 !x38
x10 x62 x100
!x32 !x6 x10
!x54 x44 x10
x76 x10 x60
x56 !x92 x10
x28 x10 x57
!x39 !x4 x10
x10 x40 x87
x39 x65 x10
x95 x10 x45
x10 !x65 x96
x70 x10 x43
!x25 x10 x20
x43 x10 x92
x10 x71 !x54
!x74 x10 !x63
x22 !x27 x10
x18 x10 x76
!x1 x83 x10
x10 x5 x44
x10 !x90 x7
x10 x42 !x31
x36 x10 x2
!x70 x54 x10
x10 x78 x42
x10 x100 x30
!x83 x41 x10
!x4 !x48 x10
!x15 !x100 x10
x49 x10 !x18
!x88 x10 x7
x10 x101 x78
!x49 !x65 x10
x10 !x25 x66
!x29 x10 !x52
!x15 x11 x10
x8 x10 !x83
x99 x10 !x14
x3 !x4 x10
x26 !x4 x10
x42 x10 !x18
x10 x12 !x21
x43 !x79 x10
x96 x61 x10
x10 !x92 !x31
x9 x10 !x44
x10 !x17 x6
x10 !x32 x70
x10 x48 x71
x10 !x12 !x79
x4 !x30 x10
!x82 x52 x10
!x41 !x65 x10
x10 !x19 x97
x38 !x26 x10
!x81 x10 x31
x10 x10 !x88
!x20 x10 !x10
!x49 x10 x3
!x74 x86 x10
x93 x10 x87
x27 x79 x10
x10 x38 !x44
x10 !x64 !x27
x10 !x101 !x89
x56 x90 x10
!x78 !x98 x10
!x1 !x49 x10
!x87 x10 !x42
x100 x101 x10
x10 x12 x8
!x96 !x99 x10
x10 x33 x37
!x56 x85 x10
x58 !x47 x10
!x33 x74 x10
x10 x38 !x75
x51 x33 x10
x10 x42 !x22
x46 !x31 x10
x10 x50 !x51
x10 x31 x83
x49 x10 !x35
x57 x54 x10
x10 !x45 !x81
x8 x47 x10
x10 !x60 !x88
x10 !x92 !x13
x6 x44 x10
x13 !x65 x10
!x14 x10 x96
x2 x71 x10
x82 x10 x54
x80 x14 x10
x10 !x43 !x95
x10 x39 x84
!x23 x10 !x71
x69 x10 x33
!x91 x10 !x81
x56 x94 x10
x10 !x32 x82
x5 x64 x10
