DNF
!x21 !x75 x91
x91 !x58 !x10
x91 x68 x99
x91 !x4 !x48
x91 !x9 !x92
x91 x80 !x65
x91 !x33 x33
x78 !x67 x91
!x5 x91 x45
x29 !x28 x91
x91 x96 x32
x89 !x33 x91
x91 !x98 x18
x91 x44 !x79
x64 !x67 x91
x18 !x77 x91
!x53 x91 !x58
x91 !x55 !x81
!x1 !x25 x91
!x10 !x34 x91
!x25 x91 x20
x91 !x90 !x39
!x40 x22 x91
x5 x91 x1
x16 x91 !x68
x88 x91 x32
!x83 !x35 x91
x3 x34 x91
x18 x91 !x33
x72 x70 x91
x91 x2 x3
x74 x21 x91
x91 !x53 x57
x91 !x20 !x26
x91 !x47 !x11
x11 x51 x91
!x3 x91 x89
x36 x91 !x9
x91 x35 x68
!x17 x91 x48
x91 x59 x93
x91 !x31 !x69
x26 x91 x35
x91 !x23 x98
!x7 !x73 x91
x28 x91 x60
!x29 x91 x33
!x10 x91 !x75
x73 x5 x91
x21 x91 x62
!x44 x91 x64
x91 x42 !x41
x91 !x81 !x29
x1 !x92 x91
x91 x29 !x10
x91 !x12 x65
!x13 !x3 x91
!x76 x91 !x8
x35 x87 x91
!x46 x23 x91
x91 x34 x65
x49 x91 !x76
x44 x91 x96
x91 x5 !x79
x91 !x15 !x95
!x49 x91 !x12
x95 x91 !x11
!x16 x33 x91
x22 x91 x61
x83 x99 x91
x4 x91 x90
x49 x89 x91
x91 x99 !x49
!x5 x82 x91
!x46 x91 x95
!x50 x91 !x60
x13 x91 !x11
x91 x82 x6
x91 x5 x87
!x47 x87 x91
x35 x50 x91
x56 x45 x91
x91 !x86 !x78
!x92 x91 x97
x91 !x35 !x25
!x6 !x19 x91
x61 x91 x23
x100 x91 x27
x91 !x41 x10
x54 x91 x81
x66 !x24 x91
!x34 !x28 x91
!x38 !x15 x91
x89 !x31 x91
x40 !x18 x91
!x54 x91 x22
!x2 !x83 x91
!x13 x62 x91
!x69 x91 x7
!x29 x91 x41
x67 !x39 x91
x91 !x40 !x2
x91 x4 x39
!x61 x68 x91
x91 x71 !x15
!x18 x91 !x45
x37 x91 !x90
!x53 x91 x98
!x47 !x76 x91
x91 x59 x3
!x40 !x58 x91
!x45 x91 x39
!x94 x71 x91
x69 x91 !x11
x91 x3 x77
!x56 x91 x89
x15 x35 x91
x31 !x39 x91
x91 x5 x54
x50 x68 x91
x23 !x11 x91
!x61 x91 x64
x21 x91 !x27
x93 x91 !x84
x88 x91 !x82
!x81 x96 x91
!x89 x91 x78
!x69 x91 !x33
x91 x81 !x14
x45 x91 !x47
x70 x28 x91
x91 x30 !x44
x12 x91 !x61
!x18 !x83 x91
x72 x43 x91
x91 x4 !x54
!x27 x91 !x28
x91 !x81 x73
x91 x6 !x43
!x29 x91 !x90
x15 !x23 x91
x85 !x43 x91
x91 x76 x26
x18 x91 !x44
x91 x12 !x7
x64 x91 x35
!x98 x91 x12
x26 x91 !x41
x16 x91 !x11
x97 x91 x59
!x63 !x46 x91
!x86 !x52 x91
x11 x56 x91
x91 !x72 !x39
x91 !x82 x48
x91 x1 x3
x91 x36 !x72
!x53 x25 x91
!x43 x91 !x64
x91 !x1 x91
!x52 !x67 x91
!x13 x81 x91
!x96 x22 x91
x34 x91 x79
x91 x19 x62
x91 !x1 !x97
!x91 !x73 x91
x49 x91 x20
x91 !x49 x70
x91 x20 x98
x91 x43 !x28
x91 x34 !x28
!x85 x82 x91
x63 x91 !x70
x75 !x57 x91
x91 x94 x66
x87 x91 x20
x52 !x69 x91
x91 !x54 x2
!x73 x91 !x26
!x33 !x19 x91
x91 !x58 !x71
x7 x91 x41
!x101 x91 !x50
!x67 !x36 x91
!x10 !x68 x91
x91 x22 !x16
x13 x91 x45
x79 x91 x95
x20 x91 x39
x91 !x96 x33
!x15 x91 !x4
x91 x37 !x57
x91 x93 x19
x91 x14 !x98
!x51 x91 x15
x56 x91 !x44
x91 !x86 !x71
!x11 x91 x22
x91 x38 !x58
x17 !x58 x91
x9 !x6 x91
!x65 x97 x91
x91 x84 x19
x91 !x92 !x94
x91 !x21 !x75
x11 !x36 x91
x91 x52 x2
x91 !x87 !x35
!x78 x37 x91
x75 !x62 x91
!x27 x59 x91
!x75 x24 x91
x91 !x26 !x27
x91 x87 !x98
x91 x101 !x28
!x67 !x20 x91
x91 !x95 !x93
x32 x81 x91
x91 !x49 !x20
x32 !x21 x91
x91 !x6 !x77
x83 !x81 x91
x91 !x100 !x41
!x52 !x87 x91
x91 x46 x49
!x44 !x90 x91
x54 x18 x91
x91 x2 x81
x76 !x78 x91
x91 x69 x91
x91 !x76 !x18
!x30 x78 x91
!x45 !x101 x91
x91 x53 !x12
!x35 x56 x91
x91 x77 !x22
!x64 !x26 x91
x100 x82 x91
x100 x91 x53
!x34 x91 x7
x91 !x33 !x5
x91 !x90 x101
x91 x12 x17
x91 !x69 x60
x59 !x29 x91
x7 x91 x101
x91 x18 x72
x91 !x4 x10
!x36 x91 x65
!x82 !x51 x91
x91 x4 x62
x91 !x76 !x6
x64 !x3 x91
!x101 !x71 x91
x91 !x59 x60
x91 x95 x54
x51 x91 x16
x58 x91 x96
x91 !x32 !x18
x91 x94 x95
!x65 x91 !x8
x91 x40 x13
!x18 x17 x91
x91 x46 !x62
x68 x91 !x82
!x63 x91 !x101
x52 !x92 x91
!x76 x91 x32
x91 x63 x25
x91 !x90 !x68
x91 x43 x44
x1 x91 !x59
!x52 !x89 x91
x97 x91 x57
x25 x91 !x80
x91 x31 x12
x91 x21 x19
x91 x51 x58
x91 x66 !x61
x91 x51 x28
x91 !x24 x51
x30 x91 x17
x91 x22 !x11
!x85 x25 x91
!x88 x91 !x38
x91 !x2 x20
x44 x91 !x98
x49 x91 x61
x41 x91 !x81
x33 x91 !x73
!x28 x91 x56
!x86 x80 x91
x14 !x52 x91
x91 !x1 x95
x91 x14 x82
!x55 x91 x57
x96 x91 x53
!x54 !x80 x91
x91 x79 x45
