DNF
!x101 x1 x93
x73 !x2 x79
x10 !x56 x48
!x38 !x72 !x10
x38 !x24 x39
!x85 x45 !x37
!x69 !x62 x91
!x19 !x53 x84
x53 x57 x1
x4 x91 !x76
x50 !x39 x43
x37 !x97 x55
x1 !x70 !x75
!x10 !x68 !x13
x100 !x27 !x68
!x56 !x10 !x75
!x22 !x96 x57
!x37 x32 !x57
!x18 x31 !x15
x95 !x89 x35
x48 x33 x79
x20 x98 !x74
!x89 !x54 !x71
x75 x97 !x6
x9 !x87 !x100
!x88 !x65 x49
x49 x95 x59
x84 x34 !x18
x19 x54 x12
!x40 x34 x14
!x38 x95 !x100
x2 !x75 x79
!x30 x23 x25
!x41 !x30 !x84
!x93 !x14 x79
x57 !x35 !x74
!x98 x64 !x4
x18 !x1 x9
x31 !x89 !x14
x56 !x34 !x37
!x72 x25 x78
x93 !x2 x62
!x33 x94 x61
x9 x14 !x38
x78 !x85 x60
x75 !x80 !x53
!x85 x6 x73
x50 !x27 !x70
x96 !x29 !x69
!x100 x100 x64
!x92 x33 x5
!x50 !x38 x49
!x73 !x98 !x75
x28 !x66 x3
!x83 !x5 !x47
x24 x17 !x73
x25 x100 x91
x93 !x80 x3
!x83 x68 !x85
!x8 !x92 x95
!x9 x77 x52
x58 !x12 !x51
x52 x45 !x14
!x83 !x60 !x86
!x92 !x3 x83
!x19 x20 x99
!x58 !x89 x82
!x44 !x84 x46
!x11 !x57 !x21
!x35 x87 x69
x21 x62 x32
x48 x92 x61
x74 x90 x93
x28 x54 x98
x84 x49 x69
x5 x21 x69
x24 !x80 !x2
!x74 x9 !x7
x36 !x49 x72
!x34 x42 x31
x49 !x100 !x50
!x85 !x62 x76
!x86 !x37 !x23
!x28 !x74 !x67
x15 !x76 !x12
!x37 x74 !x38
x55 x76 !x8
x83 x5 !x43
x16 x35 !x17
!x33 x51 !x13
!x69 x91 x64
x86 x62 x43
x31 !x21 !x69
x43 !x10 x37
!x92 !x78 !x5
x39 !x80 !x16
x5 x22 !x30
x2 x95 !x88
x17 x35 !x11
x33 !x57 !x10
x12 x80 x76
!x48 !x53 x59
!x41 !x79 !x50
!x14 !x34 !x73
x44 !x5 !x55
x79 !x54 !x18
x53 !x100 !x82
x62 !x13 x51
x47 x99 x41
!x73 !x98 !x87
!x67 !x45 !x31
x98 x90 !x52
!x43 x65 !x37
!x41 !x21 !x45
!x49 x26 !x21
x44 !x78 x80
x43 !x90 x12
x19 !x86 x100
!x86 !x20 !x27
x41 !x84 !x97
!x34 x15 !x47
!x44 x90 !x7
!x32 !x35 x82
!x53 x47 !x10
!x7 !x34 !x43
x50 x42 !x58
x51 x71 !x78
!x6 x70 x62
!x30 !x24 x4
x17 x16 !x43
!x91 !x82 !x37
!x16 !x47 !x86
x79 !x31 x57
x14 x30 x82
x12 x44 !x80
!x26 x84 !x5
!x86 x38 !x26
x4 !x42 x85
!x12 x7 x74
!x50 x73 x2
!x21 !x16 x55
!x13 !x68 !x70
x100 !x49 x4
x9 !x22 !x11
x29 !x5 x59
!x40 x44 !x39
x4 !x88 x12
x68 !x85 x63
x54 x88 !x16
!x6 x58 !x92
x101 x51 x46
!x62 !x78 x18
x74 x42 x47
!x76 x27 !x82
x66 !x53 x61
!x49 !x23 !x94
!x11 x101 !x87
!x87 !x70 !x65
x9 !x61 x4
x42 !x19 x4
x34 x86 !x29
!x32 x16 x21
!x66 x58 x90
x26 !x11 x23
x51 !x32 x53
!x49 x39 !x68
!x60 !x35 !x98
x98 !x98 x71
x25 !x92 x41
!x71 !x54 !x100
x48 !x28 x94
!x35 x73 !x54
x96 x56 x53
x19 x61 !x32
x15 !x92 !x72
x38 x50 !x41
x19 !x72 !x37
x15 x32 x97
x8 !x22 x85
!x14 !x3 !x24
x29 !x67 x93
x97 x52 x50
x99 x42 x58
!x17 x33 !x38
!x99 x92 !x34
!x33 !x50 !x50
!x69 !x46 !x63
!x18 !x101 x12
x1 x96 x64
x64 x74 !x86
!x26 !x56 x87
x93 !x88 !x8
x30 x95 !x18
x86 x73 !x80
!x57 x13 !x92
!x92 x57 x38
!x99 x15 x88
x80 !x75 !x82
!x15 !x74 x44
x40 !x11 x61
!x95 x34 !x53
x72 !x27 x60
!x95 x21 !x51
!x22 x40 x20
!x80 !x42 !x69
!x35 !x11 !x6
!x25 x17 x80
x26 x18 !x22
!x60 !x37 !x79
x18 x67 !x6
x38 x32 !x55
!x39 x39 x34
!x54 !x49 x47
!x19 !x85 !x45
!x20 !x12 !x3
x29 x64 !x60
x29 !x100 !x82
x43 !x18 !x87
!x18 x71 !x62
!x67 x32 x50
x33 x19 x17
x19 !x56 !x43
!x19 x79 !x48
x19 x100 x82
!x5 !x81 !x18
x72 !x33 x72
!x50 !x89 !x96
x40 x77 x26
x79 !x79 !x91
x34 x16 !x81
!x28 x48 !x53
x53 !x58 x80
!x69 !x29 x77
x84 !x32 !x61
!x75 !x95 !x65
x16 x74 !x24
!x20 !x20 x97
x88 x32 x99
x48 !x51 !x63
x98 x62 x17
!x77 !x57 x16
!x101 x7 !x30
x84 x67 !x71
x101 !x79 x97
!x69 !x77 !x26
x64 !x86 x14
!x60 x97 x38
!x45 x12 x14
!x83 !x96 x97
!x78 x14 !x75
x70 x8 !x9
!x78 x23 x9
!x84 x36 !x87
x92 !x81 !x26
!x36 x2 !x82
x47 !x28 !x65
x3 x8 x3
!x29 !x20 !x81
x28 !x12 x99
!x17 x38 !x29
!x50 !x7 !x62
!x91 !x10 !x60
x94 !x85 x66
x77 !x15 !x51
x34 !x3 !x27
x49 !x66 x12
x38 !x62 x37
x31 !x7 !x68
x53 x96 !x86
x83 x83 x87
!x94 !x42 x35
!x85 !x36 x14
!x60 !x8 !x87
!x80 !x74 !x27
x91 !x57 x51
x83 !x9 !x91
x42 !x5 !x43
x19 x73 x44
!x32 x63 x87
!x61 !x52 !x62
!x59 !x45 !x19
x86 !x66 !x7
!x52 !x25 x54
!x26 x30 !x24
!x79 !x50 x84
!x13 !x101 !x89
!x70 !x26 x48
x14 !x61 x99
!x93 !x14 !x52
!x95 x60 !x30
!x84 x9 !x10
!x37 x9 !x13
x94 !x97 x94
!x43 !x24 !x45
!x86 x59 !x95
x13 x83 x37
x16 x79 !x77
!x94 !x44 x50
!x22 !x57 x37
!x13 x93 x54
