DNF
!x47 !x94 x13
x17 !x88 !x25
x5 x35 !x81
x76 x45 x45
x29 !x100 !x85
!x71 !x28 !x94
!x70 x89 !x21
x23 x94 !x83
x13 !x60 !x41
x69 x49 !x23
!x33 !x76 !x66
!x35 !x11 !x5
x29 !x91 x89
!x39 !x68 !x34
!x18 x64 !x47
x96 !x78 !x39
x2 x93 !x23
x87 x61 !x18
x76 !x31 !x101
!x22 x48 !x16
x95 x85 !x22
!x67 !x3 !x94
x77 x82 !x10
x69 x35 x80
!x47 !x41 x39
!x26 x64 x74
!x48 !x51 x97
x31 x51 !x20
!x79 x76 !x55
!x11 x45 !x98
!x17 x8 x92
!x65 x52 x61
x38 !x87 x26
x12 x97 x5
x58 !x90 !x63
!x91 x88 x78
!x23 !x93 !x87
!x71 x69 !x49
!x63 !x37 !x11
x39 x15 !x18
x55 !x86 x66
!x18 x53 x12
x1 x68 x96
x10 !x95 x9
x72 !x31 !x55
!x36 x12 x100
!x30 x89 x41
x33 x75 !x46
x1 x2 !x65
!x5 x28 !x96
x42 x13 !x32
!x51 x81 x93
!x16 !x70 x79
x28 !x20 !x69
x60 x33 x63
x54 x25 !x88
x29 x35 x5
x68 x98 !x7
!x45 x4 x98
!x50 x48 x23
x90 !x46 x62
!x17 !x16 !x61
!x100 x59 x85
!x35 !x93 x62
!x96 x19 x56
!x32 x21 x100
x91 x26 x100
!x53 !x20 x61
x12 x3 x35
!x74 !x24 x54
x88 x25 x82
x25 !x17 x55
!x75 x65 x99
x60 x75 x50
!x52 x47 !x49
!x49 !x46 x61
x83 x70 !x71
!x32 !x25 !x82
x55 x85 !x79
!x25 !x6 !x79
x21 !x4 x27
!x40 !x80 x5
!x1 !x31 !x93
!x52 !x63 !x58
!x50 !x82 x13
!x15 !x37 !x6
!x65 !x84 x35
x22 x73 x34
!x39 !x92 x89
x91 x91 x91
!x65 !x80 !x46
!x71 !x56 !x34
!x90 x41 x96
!x49 x26 !x65
x73 !x19 x51
!x34 !x81 !x32
x67 x6 !x43
x19 !x62 !x71
!x6 x49 !x86
!x60 x16 !x72
x18 x98 !x62
!x12 x22 !x93
x38 !x43 x78
x7 !x62 x16
x36 x71 x101
x7 !x24 x98
x98 !x76 !x1
!x64 !x6 !x86
x35 !x21 x11
x92 !x21 !x71
x50 x38 x76
!x31 x26 x85
!x64 !x67 !x28
!x60 x58 x82
!x26 x101 !x99
!x8 x100 x17
x42 !x71 x45
!x93 !x83 !x25
!x46 x15 !x14
x41 !x94 !x47
!x83 !x70 !x53
!x2 x85 x32
!x72 !x21 !x71
x15 !x32 x23
x61 !x34 !x38
x7 x68 !x59
!x51 !x90 x95
!x91 x99 !x3
x101 x76 x35
!x76 !x55 !x22
!x31 !x5 x64
x30 !x97 !x55
!x40 !x7 x70
!x29 x54 x33
x59 x12 x21
!x20 !x37 x95
!x91 !x91 !x91
x73 x7 x3
x11 x30 !x65
x11 !x62 x21
x4 !x73 !x9
!x33 !x91 !x92
x67 !x62 !x61
x56 !x13 x21
!x61 !x96 x34
!x52 !x65 x85
x3 !x83 !x60
x72 x25 !x36
!x63 !x72 !x86
x34 !x7 !x94
x68 x81 !x71
x82 !x71 x2
!x28 !x56 !x70
!x94 !x29 x47
!x65 !x84 x92
!x65 !x52 x26
x64 x30 x70
!x83 x27 !x65
!x9 !x49 !x72
x29 x51 !x97
!x94 x10 !x35
x40 x61 !x77
!x20 x42 !x39
!x75 !x41 !x18
x39 !x82 !x6
x20 x65 !x26
x95 !x24 !x52
x65 x60 x59
x95 x48 !x42
x63 x2 x40
x12 !x46 x94
x33 !x58 x87
x59 x61 x33
x39 !x39 !x21
!x92 !x2 !x75
x68 !x15 !x9
!x87 x77 x25
!x15 !x48 !x69
!x7 !x26 x70
x33 x45 x65
x40 !x2 x88
x84 x82 !x54
x60 x8 x67
x83 !x25 !x98
x6 x85 x45
x73 !x92 !x48
x43 x83 x84
x74 x73 x23
x5 !x54 !x20
!x78 !x101 !x42
x7 !x29 !x9
x62 !x92 x89
!x9 !x95 x17
!x7 x93 !x51
x70 !x92 !x96
x64 x7 !x62
x17 x29 !x28
x101 !x45 !x60
!x33 !x77 x93
!x27 !x30 x51
!x86 !x90 x16
x21 x83 !x44
x37 !x6 !x72
!x17 x29 !x101
!x6 x70 !x9
!x22 x94 !x15
x28 x34 !x2
x86 x45 x95
x91 !x27 x41
!x100 x83 !x20
x9 !x39 x66
x96 x90 !x14
x81 !x85 !x9
x4 x65 !x43
!x8 x52 !x1
x27 !x30 x80
!x76 !x81 x78
x79 !x2 x70
x25 x21 x61
!x30 x67 !x78
!x24 !x37 !x26
!x51 x84 !x83
!x48 x28 !x60
!x87 x33 x50
x12 !x97 x29
x64 x75 !x53
!x28 !x61 !x38
!x11 !x39 x63
!x48 !x15 x65
!x50 !x100 x35
x96 x93 x82
!x16 !x68 x72
x77 x11 x21
x29 !x52 !x22
x51 !x23 !x74
x94 !x79 !x92
!x92 !x17 !x54
!x92 x30 x47
x99 !x98 x43
!x96 x47 x76
!x34 x31 !x57
