CNF
!x95 x46 x65
!x2 x45 x43
!x44 x11 !x45
x13 !x88 x87
x12 !x71 !x96
x94 !x77 x69
!x53 x96 !x57
x81 x41 !x84
x38 !x47 x90
!x81 !x23 x58
!x49 !x97 !x89
x87 !x31 !x16
!x72 !x86 x81
x62 !x21 x43
x60 x98 x2
!x86 x72 x74
x43 x50 x38
!x8 x101 !x48
x50 !x90 !x29
x66 !x90 !x22
x68 x42 x67
x43 !x86 x47
x4 !x99 x35
x31 x19 !x62
!x74 x14 x33
!x63 !x52 !x91
x95 !x86 x18
x53 !x13 !x98
x82 !x99 x18
!x63 x51 x42
!x16 x56 !x93
x5 x17 x85
x19 !x21 !x13
x17 !x74 x7
!x23 x36 x27
x75 !x34 x36
!x41 x91 !x20
!x57 !x86 x89
x15 !x100 x69
!x68 x79 !x42
!x43 !x43 x11
x90 x99 !x89
x76 x78 x58
x91 x38 !x37
x35 x25 x65
!x84 !x94 x99
!x100 !x45 x74
!x60 !x35 x46
!x44 !x89 x7
!x59 x69 x78
x97 !x81 x29
x60 !x53 x23
x63 x49 !x43
!x53 !x61 !x5
!x33 x69 x20
x96 !x5 x89
!x54 x30 x55
x18 !x61 x55
!x73 !x15 !x17
!x98 !x32 !x54
x89 !x9 x37
x92 x67 x34
x35 !x28 !x13
!x12 !x73 x58
!x24 x25 !x32
!x41 !x41 !x35
!x44 x67 !x12
!x38 x84 x43
x24 x41 x41
x85 !x13 x59
!x86 x77 x9
x16 x55 !x97
x27 !x44 x24
x76 !x44 x91
x58 x70 x85
!x92 !x11 x92
!x58 x13 !x14
!x24 x7 x99
x84 x88 !x97
!x67 x19 x68
!x37 !x23 x74
!x92 x55 x82
!x24 x83 !x90
!x95 x91 !x66
!x7 x44 !x72
!x61 x5 !x91
!x14 x27 !x49
x49 !x58 !x99
!x70 !x75 !x15
x84 x19 x40
x45 x26 !x36
!x96 !x80 !x53
!x49 x26 !x80
x5 x10 !x19
x51 x13 x36
!x96 !x23 !x80
x84 x57 !x41
x3 x2 x99
!x31 !x1 !x62
x13 !x12 x27
!x54 !x41 x65
x3 !x71 x39
x76 x46 !x94
x45 x5 !x10
x85 x27 !x16
!x10 !x25 !x7
!x71 x61 x12
!x100 !x8 x84
!x31 !x100 !x88
!x50 !x65 !x45
!x81 !x17 x80
x64 x69 x47
x63 x69 x89
x56 x83 x91
x41 !x28 x54
!x12 !x83 !x96
!x49 x15 !x98
!x39 !x68 !x19
!x45 x17 !x45
x20 !x82 !x23
!x43 !x8 x71
x60 x55 !x101
!x76 x57 x75
x32 x29 x86
x75 !x45 !x22
x9 !x99 x60
!x76 x43 x12
!x35 x77 x80
!x41 x84 !x17
!x39 x37 !x13
!x90 x6 x27
!x1 !x70 x16
!x52 !x86 x29
x92 x57 x71
!x26 !x1 x77
x64 x33 !x61
x57 !x74 x31
x66 !x84 x8
!x99 x73 !x42
!x23 x75 x42
x48 x5 x94
!x87 !x64 x11
!x10 x64 x94
x68 x100 !x54
!x40 x39 x66
!x68 x60 !x9
!x59 x54 x58
!x65 x65 x78
!x64 !x96 x77
x1 !x24 !x80
!x56 !x1 !x15
x96 x41 !x86
x90 x2 x59
!x37 x22 !x98
x35 x69 x49
x79 x83 x89
!x35 x49 !x56
!x35 x30 x40
x36 x24 x17
!x45 !x73 !x69
!x101 x82 !x17
!x88 x28 x18
!x17 !x40 x19
x95 x74 x89
!x91 !x32 x73
!x34 x16 x46
!x89 x96 x64
x7 !x35 x78
x15 !x4 !x30
!x12 x71 x17
x29 x82 !x2
x33 x55 !x26
x1 x50 x96
!x62 x78 x98
x23 !x36 x36
!x79 x33 !x64
x86 x37 !x8
!x21 x35 !x75
x86 x76 !x39
!x78 !x24 !x39
x50 !x19 x33
!x59 !x99 x8
!x40 !x67 x43
!x88 !x14 !x66
!x42 !x100 !x92
x100 x61 x59
x67 !x45 x71
!x99 x83 !x22
x10 !x87 !x57
x62 x14 x66
x5 x76 !x46
!x27 !x52 !x92
x49 x96 !x1
x18 !x58 x10
x32 !x81 !x6
!x89 x99 !x71
x99 !x68 !x32
x19 x101 !x1
x91 !x66 x83
x96 x47 !x98
!x63 !x31 x68
!x78 x70 x63
x3 !x97 x60
x5 !x31 x24
!x67 !x62 x58
!x20 !x46 !x50
x8 !x7 x34
!x88 !x33 x27
!x16 !x49 !x54
!x44 !x48 !x72
!x99 x55 !x6
x93 !x19 x26
!x55 x46 !x54
x17 !x24 x68
!x15 x45 x81
!x80 !x43 !x40
!x66 !x98 !x28
!x7 x96 x86
x52 x72 x60
x41 x100 x16
!x35 x24 x80
!x80 !x38 x67
!x40 !x74 x21
x49 x72 !x35
x89 x97 !x26
!x101 !x24 x95
!x66 !x101 !x34
!x15 !x30 x28
x69 !x49 !x80
!x32 !x67 !x70
!x79 !x42 !x77
x58 !x42 x74
x79 !x82 !x58
!x96 !x13 !x4
x9 !x55 x66
!x20 !x32 x11
x64 !x13 x81
x12 x40 x89
x45 x82 !x22
!x69 x35 x66
!x26 x76 x93
!x43 x46 !x69
x94 !x68 x71
!x24 !x93 !x60
!x14 !x34 x84
!x32 !x65 x90
x99 !x41 !x42
x27 !x28 x71
!x75 !x101 !x2
!x35 !x25 x28
