CNF
!x4 x59 x76
!x96 x34 x59
x59 !x44 x24
!x3 x59 !x32
!x61 x32 x59
!x69 x12 x59
!x90 !x63 x59
x70 x59 !x40
x59 x10 x77
x51 !x57 x59
x59 !x4 !x66
x59 !x36 !x92
!x98 !x33 x59
x68 x59 !x2
x59 x40 x96
x59 !x3 !x90
x41 !x57 x59
x59 !x41 !x78
!x29 x59 !x81
!x15 x46 x59
x65 x59 !x61
!x96 x27 x59
x59 x59 x20
!x89 x59 x88
x59 !x1 x93
x59 x9 x12
!x44 x18 x59
x21 x59 x69
x57 x59 x29
x59 x36 !x49
!x76 x59 !x7
x22 !x21 x59
x6 !x94 x59
x59 x74 x58
x52 x59 !x41
!x11 x59 x14
!x58 x46 x59
!x30 !x50 x59
x34 !x58 x59
x74 !x82 x59
x59 x28 !x13
x32 !x15 x59
x85 x59 x92
!x96 !x4 x59
x10 x59 x63
x19 !x28 x59
!x46 x95 x59
x32 x59 !x78
!x84 x59 x87
x46 x82 x59
x14 x85 x59
x59 x99 !x88
x16 x16 x59
x75 x43 x59
!x60 x59 x47
!x71 x38 x59
!x20 x41 x59
!x19 !x9 x59
x59 !x39 x31
x92 x59 x76
!x19 !x100 x59
x59 !x88 x4
x59 !x33 !x56
!x96 !x25 x59
!x39 x59 !x81
x78 !x7 x59
x59 x36 !x27
x59 x63 !x88
x59 x59 !x43
x33 !x40 x59
x59 x36 !x84
x59 !x31 !x84
x56 x59 x22
!x17 x74 x59
x26 x59 !x8
x74 x18 x59
!x64 x59 x92
x59 x34 !x69
!x95 x64 x59
x63 x59 !x14
x40 x46 x59
x59 x46 x15
x32 x59 x11
!x15 x59 x92
x48 x83 x59
x97 !x5 x59
x59 !x37 x96
!x101 !x94 x59
x59 !x62 x56
x55 x73 x59
!x25 x59 x22
x52 !x2 x59
x59 !x43 x47
x59 x63 !x74
x59 !x65 !x22
x69 x67 x59
x59 x31 !x42
!x37 x59 !x89
!x67 x80 x59
x59 !x100 x75
x59 !x47 x9
x59 !x5 !x23
x59 x65 x38
!x15 x59 x70
x63 !x72 x59
x13 !x85 x59
!x31 x59 x11
!x93 !x38 x59
x59 !x92 x21
x59 !x78 !x97
x59 !x7 x78
x59 !x36 x26
x43 x59 !x80
x46 x59 x73
x65 !x15 x59
!x48 x19 x59
!x56 x59 x95
x59 x20 x99
!x101 x59 !x84
!x65 x59 x13
!x41 !x39 x59
!x88 x59 !x58
x40 !x1 x59
!x57 x75 x59
x64 !x71 x59
x25 x59 x32
!x59 !x25 x59
x59 !x71 x47
x32 x26 x59
!x62 x59 !x7
!x31 x59 x5
x38 x23 x59
x93 x59 !x2
!x31 x59 x82
x47 !x40 x59
x87 x59 !x9
!x82 x9 x59
x59 !x73 x9
x59 x65 x46
x59 x87 !x60
x32 x71 x59
!x36 x59 !x100
x47 x59 x8
x11 x59 !x5
!x37 x59 !x45
x22 x59 x13
x55 x63 x59
!x28 x59 !x44
!x22 x59 !x17
x32 !x47 x59
x66 x59 !x20
!x16 !x60 x59
x59 x51 !x39
x91 x25 x59
x16 x62 x59
x94 x59 !x101
x59 !x10 x12
x59 !x48 !x66
x59 !x14 x60
!x86 x83 x59
!x95 !x98 x59
x33 x59 x4
x63 x59 x89
x59 !x74 !x14
x59 !x60 !x98
!x73 x59 !x28
x19 x59 x51
x44 !x76 x59
x59 x72 !x87
x74 !x37 x59
x57 x59 !x43
x98 !x71 x59
x93 x47 x59
!x24 x86 x59
x65 x59 x53
!x34 !x97 x59
!x13 x59 x29
x59 !x36 x16
x59 x12 !x92
!x54 !x85 x59
!x46 !x96 x59
!x77 x59 !x31
!x90 x38 x59
!x2 x59 x2
x48 x59 !x87
x57 !x68 x59
x60 !x25 x59
x59 !x39 !x55
!x95 x59 x56
x59 !x85 !x38
x59 x42 !x19
!x32 x59 !x94
x59 x90 x38
x59 !x46 !x75
x4 !x94 x59
x59 !x72 !x82
x1 !x76 x59
x38 x59 x9
x59 x36 !x85
x40 x59 x22
!x83 x59 x41
!x79 x59 !x95
x59 x25 !x22
!x30 x59 x58
x59 !x3 !x8
x37 !x82 x59
!x69 !x59 x59
x24 x14 x59
x59 x62 !x74
x69 x59 !x71
x25 !x14 x59
!x74 x59 x82
x59 x11 x23
x59 x77 x2
x59 x18 !x79
!x61 !x52 x59
!x78 !x43 x59
!x52 x59 !x96
x59 !x47 !x12
x54 !x82 x59
x59 x36 !x83
!x101 x59 !x46
x59 x25 !x33
!x8 !x45 x59
x37 x59 !x27
x59 x31 !x39
x51 x59 x75
x59 !x80 !x58
!x53 !x67 x59
!x21 !x84 x59
!x96 x59 x50
x60 !x9 x59
x59 !x8 !x63
x59 !x71 !x46
x49 x59 !x99
!x25 !x1 x59
x41 x24 x59
!x78 x2 x59
x98 x9 x59
!x47 x59 !x78
!x26 x59 !x14
x59 x40 !x8
!x93 x16 x59
x59 x77 !x42
x59 x50 x53
x15 x20 x59
x59 !x64 x92
!x59 !x19 x59
!x33 x59 x62
!x42 x59 x37
